adminNm,adminPttnCd,longTermAdminSym,longTermPeribRgtDt,siDoCd,siGunGuCd,stpRptDt
헬스케어의료기,C06,34215000057,20090617,42,150,20090615
부모사랑재가방문센터,C01,34215000058,20090624,42,150,20090624
부모사랑재가방문센터,C02,34215000058,20090624,42,150,20090624
참사랑재가장기요양기관,C01,34215000062,20090922,42,150,20090922
참사랑재가장기요양기관,C02,34215000062,20090922,42,150,20090922
참사랑재가장기요양기관,C03,34215000062,20090922,42,150,20090922
가가호호재가장기요양기관,C01,34215000064,20091009,42,150,20091001
가가호호재가장기요양기관,C02,34215000064,20091009,42,150,20091001
방문천사 비지팅엔젤스 강릉지점,C01,34215000069,20091104,42,150,20091104
방문천사 비지팅엔젤스 강릉지점,C02,34215000069,20091104,42,150,20091104
실버벨재가방문센터,C01,34215000087,20100816,42,150,20100816
실버벨재가방문센터,C02,34215000087,20100816,42,150,20100816
강릉노인돌봄 유한회사,C01,34215000123,20120228,42,150,20120228
강릉노인돌봄 유한회사,C02,34215000123,20120228,42,150,20120228
효자손재가복지센터,C01,34215000124,20120403,42,150,20120403
강릉제일노인복지센터,C01,34215000132,20120910,42,150,20120910
강릉제일노인복지센터,C02,34215000132,20120910,42,150,20120910
주문진재가장기요양기관,C01,34215000136,20130530,42,150,20130530
주문진재가장기요양기관,C02,34215000136,20130530,42,150,20130530
좋은복지센터,C01,34215000139,20130603,42,150,20130603
좋은복지센터,C02,34215000139,20130603,42,150,20130603
좋은복지센터,C03,34215000139,20130603,42,150,20130603
좋은복지센터,C04,34215000139,20130603,42,150,20130603
양지뜰노인복지센터,C03,34215000141,20130604,42,150,20130603
양지뜰노인복지센터,C04,34215000141,20130604,42,150,20130603
천사재가방문센터,C01,34215000143,20130801,42,150,20130726
천사재가방문센터,C02,34215000143,20130801,42,150,20130726
진선미재가장기요양기관,C01,34215000144,20130808,42,150,20130808
진선미재가장기요양기관,C02,34215000144,20130808,42,150,20130808
사랑천사 재가장기요양기관,C01,34215000147,20130925,42,150,20130925
사랑천사 재가장기요양기관,C02,34215000147,20130925,42,150,20130925
강릉솔빛 요양센타,C01,34215000149,20130930,42,150,20130930
사랑채움노인장기요양센터II,C01,34215000152,20131031,42,150,20131031
사랑채움노인장기요양센터II,C02,34215000152,20131031,42,150,20131031
사랑채움노인장기요양센터II,C03,34215000152,20131031,42,150,20131031
사랑채움노인장기요양센터II,C04,34215000152,20131031,42,150,20131031
사랑채움노인장기요양센터II,C05,34215000152,20131031,42,150,20131031
햇살장기요양센터,C01,34215000155,20131216,42,150,20131216
햇살장기요양센터,C02,34215000155,20131216,42,150,20131216
박정자 재가복지센터,C01,34215000158,20140116,42,150,20140116
